event_index,step,checkpoint_index,elo,event_type,previous_elo
0,96000,0,1320,stored,
1,100000,0,1301,renamed,1320
2,105600,0,1283,renamed,1301
3,105600,0,1267,renamed,1283
4,105600,0,1253,renamed,1267
5,105600,0,1240,renamed,1253
6,105600,0,1228,renamed,1240
7,105600,0,1217,renamed,1228
8,105600,0,1207,renamed,1217
9,105600,0,1198,renamed,1207
10,105600,0,1190,renamed,1198
11,105600,0,1183,renamed,1190
12,115200,0,1176,renamed,1183
13,115200,0,1201,renamed,1176
14,115200,0,1224,renamed,1201
15,115200,0,1214,renamed,1224
16,115200,0,1236,renamed,1214
17,115200,0,1225,renamed,1236
18,120000,0,1215,renamed,1225
19,120000,0,1237,renamed,1215
20,120000,0,1226,renamed,1237
21,120000,0,1247,renamed,1226
22,124800,0,1235,renamed,1247
23,124800,0,1224,renamed,1235
24,124800,0,1214,renamed,1224
25,124800,0,1205,renamed,1214
26,124800,0,1197,renamed,1205
27,124800,0,1189,renamed,1197
28,124800,0,1182,renamed,1189
29,124800,0,1206,renamed,1182
30,124800,0,1198,renamed,1206
31,124800,0,1190,renamed,1198
32,124800,0,1214,renamed,1190
33,124800,0,1236,renamed,1214
34,124800,0,1225,renamed,1236
35,134400,0,1215,renamed,1225
36,134400,0,1206,renamed,1215
37,134400,0,1228,renamed,1206
38,134400,0,1218,renamed,1228
39,134400,0,1209,renamed,1218
40,134400,0,1200,renamed,1209
41,140000,0,1192,renamed,1200
42,140000,0,1185,renamed,1192
43,140000,0,1178,renamed,1185
44,140000,0,1172,renamed,1178
45,140000,0,1166,renamed,1172
46,140000,0,1160,renamed,1166
47,144000,0,1155,renamed,1160
48,144000,0,1181,renamed,1155
49,144000,0,1175,renamed,1181
50,144000,0,1169,renamed,1175
51,144000,0,1163,renamed,1169
52,144000,0,1158,renamed,1163
53,144000,0,1153,renamed,1158
54,144000,0,1148,renamed,1153
55,153600,0,1143,renamed,1148
56,153600,0,1139,renamed,1143
57,153600,0,1135,renamed,1139
58,153600,0,1131,renamed,1135
59,153600,0,1127,renamed,1131
60,153600,0,1155,renamed,1127
61,153600,0,1150,renamed,1155
62,153600,0,1145,renamed,1150
63,160000,0,1141,renamed,1145
64,160000,0,1137,renamed,1141
65,160000,0,1164,renamed,1137
66,160000,0,1190,renamed,1164
67,163200,0,1214,renamed,1190
68,163200,0,1205,renamed,1214
69,163200,0,1197,renamed,1205
70,163200,0,1189,renamed,1197
71,163200,0,1213,renamed,1189
72,163200,0,1204,renamed,1213
73,163200,0,1196,renamed,1204
74,163200,0,1188,renamed,1196
75,163200,0,1181,renamed,1188
76,163200,0,1174,renamed,1181
77,163200,0,1199,renamed,1174
78,163200,0,1222,renamed,1199
79,172800,0,1213,renamed,1222
80,172800,0,1204,renamed,1213
81,172800,0,1196,renamed,1204
82,172800,0,1219,renamed,1196
83,172800,0,1210,renamed,1219
84,172800,0,1232,renamed,1210
85,172800,0,1222,renamed,1232
86,180000,0,1212,renamed,1222
87,180000,0,1203,renamed,1212
88,180000,0,1195,renamed,1203
89,182400,0,1187,renamed,1195
90,182400,0,1180,renamed,1187
91,182400,0,1173,renamed,1180
92,182400,0,1167,renamed,1173
93,182400,1,1420,stored,
94,182400,0,1192,renamed,1167
95,182400,0,1185,renamed,1192
96,182400,0,1178,renamed,1185
97,182400,0,1172,renamed,1178
98,182400,1,1405,renamed,1420
99,182400,0,1166,renamed,1172
100,182400,0,1161,renamed,1166
101,192000,0,1156,renamed,1161
102,192000,0,1151,renamed,1156
103,192000,1,1392,renamed,1405
104,192000,1,1380,renamed,1392
105,192000,1,1369,renamed,1380
106,192000,0,1147,renamed,1151
107,192000,1,1359,renamed,1369
108,192000,1,1350,renamed,1359
109,192000,1,1342,renamed,1350
110,200000,1,1334,renamed,1342
111,201600,1,1327,renamed,1334
112,201600,1,1320,renamed,1327
113,201600,1,1314,renamed,1320
114,201600,0,1144,renamed,1147
115,201600,0,1142,renamed,1144
116,201600,1,1308,renamed,1314
117,201600,1,1334,renamed,1308
118,201600,1,1327,renamed,1334
119,201600,1,1321,renamed,1327
120,201600,1,1315,renamed,1321
121,211200,1,1340,renamed,1315
122,211200,1,1333,renamed,1340
123,211200,1,1326,renamed,1333
124,211200,0,1139,renamed,1142
125,211200,1,1351,renamed,1326
126,211200,1,1343,renamed,1351
127,211200,1,1367,renamed,1343
128,211200,1,1358,renamed,1367
129,211200,1,1350,renamed,1358
130,211200,1,1342,renamed,1350
131,211200,1,1366,renamed,1342
132,220000,0,1136,renamed,1139
133,220800,1,1388,renamed,1366
134,220800,1,1408,renamed,1388
135,220800,1,1396,renamed,1408
136,220800,1,1415,renamed,1396
137,220800,1,1402,renamed,1415
138,220800,0,1132,renamed,1136
139,220800,1,1390,renamed,1402
140,220800,0,1160,renamed,1132
141,220800,1,1378,renamed,1390
142,220800,0,1156,renamed,1160
143,220800,1,1367,renamed,1378
144,220800,1,1357,renamed,1367
145,230400,1,1348,renamed,1357
146,230400,1,1340,renamed,1348
147,230400,0,1153,renamed,1156
148,230400,1,1332,renamed,1340
149,230400,1,1325,renamed,1332
150,230400,1,1318,renamed,1325
151,230400,1,1343,renamed,1318
152,230400,1,1366,renamed,1343
153,230400,1,1357,renamed,1366
154,230400,1,1348,renamed,1357
155,240000,0,1150,renamed,1153
156,240000,1,1371,renamed,1348
157,240000,0,1146,renamed,1150
158,240000,0,1143,renamed,1146
159,240000,0,1140,renamed,1143
160,240000,1,1362,renamed,1371
161,240000,1,1384,renamed,1362
162,240000,1,1404,renamed,1384
163,240000,1,1423,renamed,1404
164,240000,1,1440,renamed,1423
165,240000,1,1455,renamed,1440
166,240000,0,1135,renamed,1140
167,249600,1,1469,renamed,1455
168,249600,1,1481,renamed,1469
169,249600,1,1492,renamed,1481
170,249600,1,1471,renamed,1492
171,249600,1,1483,renamed,1471
172,249600,0,1129,renamed,1135
173,249600,1,1494,renamed,1483
174,249600,0,1123,renamed,1129
175,249600,1,1504,renamed,1494
176,249600,1,1483,renamed,1504
177,260000,1,1494,renamed,1483
178,260000,1,1504,renamed,1494
179,260000,1,1483,renamed,1504
180,260000,1,1494,renamed,1483
181,260000,0,1148,renamed,1123
182,260000,1,1503,renamed,1494
183,260000,1,1481,renamed,1503
184,260000,1,1491,renamed,1481
185,260000,1,1500,renamed,1491
186,260000,1,1478,renamed,1500
187,268800,0,1172,renamed,1148
188,268800,1,1457,renamed,1478
189,268800,1,1468,renamed,1457
190,268800,0,1164,renamed,1172
191,268800,1,1448,renamed,1468
192,268800,1,1460,renamed,1448
193,268800,1,1471,renamed,1460
194,268800,2,1357,stored,
195,268800,1,1482,renamed,1471
196,268800,0,1156,renamed,1164
197,268800,0,1149,renamed,1156
198,280000,1,1462,renamed,1482
199,280000,1,1474,renamed,1462
200,280000,1,1454,renamed,1474
201,280000,1,1467,renamed,1454
202,280000,2,1373,renamed,1357
203,280000,0,1142,renamed,1149
204,280000,1,1478,renamed,1467
205,280000,2,1357,renamed,1373
206,280000,2,1342,renamed,1357
