checkpoint_index,observed_games_against
0,236
1,279
2,240
3,189
4,153
5,130
6,129
7,87
8,111
9,95
10,87
11,74
12,78
13,110
14,100
15,112
16,100
17,111
18,263
19,68
20,88
21,85
22,67
23,71
24,66
25,89
26,75
27,69
28,83
29,81
30,86
31,81
32,88
33,82
34,102
35,95
36,104
37,93
38,107
39,94
40,120
41,182
42,158
43,177
44,277
45,174
46,131
47,84
48,84
49,106
50,76
51,91
52,127
53,98
54,117
55,88
56,162
57,114
58,99
59,124
60,153
61,119
62,133
63,140
64,137
65,96
66,140
67,118
68,139
69,112
70,149
71,110
72,114
73,126
74,140
75,82
76,91
77,88
78,82
79,85
80,85
81,80
82,104
83,112
84,77
85,74
86,76
87,68
88,70
89,77
90,71
91,71
92,76
93,70
94,70
95,70
96,81
97,77
98,61
99,67
100,66
101,70
102,61
103,59
104,56
105,59
106,68
107,65
108,63
109,61
110,58
111,63
112,72
113,55
114,56
115,62
116,56
117,63
118,56
119,51
120,51
121,49
122,40
123,29
124,21
125,9
