event_index,step,checkpoint_index,elo,event_type,previous_elo
0,100000,0,1259,stored,
1,105600,0,1242,renamed,1259
2,105600,0,1258,renamed,1242
3,105600,0,1273,renamed,1258
4,105600,0,1256,renamed,1273
5,105600,0,1271,renamed,1256
6,105600,0,1284,renamed,1271
7,105600,0,1296,renamed,1284
8,115200,0,1307,renamed,1296
9,115200,0,1317,renamed,1307
10,115200,0,1296,renamed,1317
11,115200,0,1307,renamed,1296
12,115200,0,1317,renamed,1307
13,120000,0,1326,renamed,1317
14,120000,0,1304,renamed,1326
15,120000,0,1283,renamed,1304
16,120000,0,1264,renamed,1283
17,120000,0,1247,renamed,1264
18,120000,0,1232,renamed,1247
19,124800,0,1249,renamed,1232
20,124800,0,1264,renamed,1249
21,124800,0,1247,renamed,1264
22,124800,0,1232,renamed,1247
23,124800,0,1218,renamed,1232
24,124800,0,1206,renamed,1218
25,124800,0,1226,renamed,1206
26,124800,0,1244,renamed,1226
27,124800,0,1260,renamed,1244
28,134400,0,1244,renamed,1260
29,134400,0,1230,renamed,1244
30,134400,0,1217,renamed,1230
31,134400,0,1236,renamed,1217
32,134400,0,1253,renamed,1236
33,134400,0,1238,renamed,1253
34,140000,0,1255,renamed,1238
35,140000,0,1240,renamed,1255
36,140000,0,1226,renamed,1240
37,140000,0,1213,renamed,1226
38,144000,0,1201,renamed,1213
39,144000,0,1190,renamed,1201
40,144000,0,1180,renamed,1190
41,144000,0,1171,renamed,1180
42,144000,0,1194,renamed,1171
43,144000,0,1184,renamed,1194
44,144000,0,1175,renamed,1184
45,144000,0,1167,renamed,1175
46,144000,0,1190,renamed,1167
47,144000,0,1212,renamed,1190
48,144000,0,1232,renamed,1212
49,153600,0,1250,renamed,1232
50,153600,0,1266,renamed,1250
51,153600,0,1280,renamed,1266
52,153600,0,1293,renamed,1280
53,153600,0,1274,renamed,1293
54,153600,0,1257,renamed,1274
55,153600,0,1272,renamed,1257
56,153600,0,1255,renamed,1272
57,160000,0,1270,renamed,1255
58,160000,0,1253,renamed,1270
59,160000,0,1268,renamed,1253
60,163200,0,1282,renamed,1268
61,163200,0,1294,renamed,1282
62,163200,0,1275,renamed,1294
63,163200,0,1257,renamed,1275
64,163200,0,1241,renamed,1257
65,163200,0,1226,renamed,1241
66,163200,0,1213,renamed,1226
67,163200,0,1201,renamed,1213
68,163200,0,1190,renamed,1201
69,163200,0,1211,renamed,1190
70,163200,0,1200,renamed,1211
71,172800,0,1220,renamed,1200
72,172800,0,1208,renamed,1220
73,172800,0,1197,renamed,1208
74,172800,0,1187,renamed,1197
75,172800,0,1209,renamed,1187
76,172800,0,1229,renamed,1209
77,172800,0,1247,renamed,1229
78,172800,0,1263,renamed,1247
79,172800,0,1247,renamed,1263
80,182400,0,1233,renamed,1247
81,182400,0,1250,renamed,1233
82,182400,0,1266,renamed,1250
83,182400,0,1280,renamed,1266
84,182400,0,1293,renamed,1280
85,182400,0,1305,renamed,1293
86,182400,0,1285,renamed,1305
87,182400,0,1297,renamed,1285
88,182400,0,1277,renamed,1297
89,182400,0,1259,renamed,1277
90,182400,0,1243,renamed,1259
91,182400,0,1228,renamed,1243
92,192000,0,1245,renamed,1228
93,192000,0,1261,renamed,1245
94,192000,0,1245,renamed,1261
95,192000,0,1230,renamed,1245
96,192000,0,1247,renamed,1230
97,192000,0,1232,renamed,1247
98,192000,0,1219,renamed,1232
99,192000,0,1237,renamed,1219
100,192000,0,1223,renamed,1237
101,200000,0,1241,renamed,1223
102,200000,0,1227,renamed,1241
103,201600,0,1245,renamed,1227
104,201600,0,1231,renamed,1245
105,201600,0,1218,renamed,1231
106,201600,0,1237,renamed,1218
107,201600,0,1254,renamed,1237
108,201600,0,1239,renamed,1254
109,201600,1,1271,stored,
110,201600,0,1225,renamed,1239
111,201600,0,1212,renamed,1225
112,201600,0,1200,renamed,1212
113,201600,0,1190,renamed,1200
114,201600,0,1211,renamed,1190
115,211200,1,1288,renamed,1271
116,211200,1,1303,renamed,1288
117,211200,1,1286,renamed,1303
118,211200,0,1230,renamed,1211
119,211200,0,1216,renamed,1230
120,211200,0,1204,renamed,1216
121,211200,0,1223,renamed,1204
122,220000,1,1301,renamed,1286
123,220000,1,1314,renamed,1301
124,220800,1,1326,renamed,1314
125,220800,1,1307,renamed,1326
126,220800,1,1289,renamed,1307
127,220800,1,1303,renamed,1289
128,220800,1,1316,renamed,1303
129,220800,0,1239,renamed,1223
130,220800,1,1327,renamed,1316
131,220800,1,1307,renamed,1327
132,220800,1,1288,renamed,1307
133,220800,1,1271,renamed,1288
134,220800,1,1286,renamed,1271
135,220800,0,1255,renamed,1239
136,230400,1,1269,renamed,1286
137,230400,0,1240,renamed,1255
138,230400,1,1284,renamed,1269
139,230400,0,1256,renamed,1240
140,230400,1,1267,renamed,1284
141,230400,0,1271,renamed,1256
142,230400,1,1281,renamed,1267
143,230400,1,1263,renamed,1281
144,240000,1,1247,renamed,1263
145,240000,1,1263,renamed,1247
146,240000,0,1285,renamed,1271
147,240000,1,1246,renamed,1263
148,240000,1,1231,renamed,1246
149,240000,1,1248,renamed,1231
150,240000,1,1264,renamed,1248
151,240000,0,1298,renamed,1285
152,240000,0,1310,renamed,1298
153,240000,1,1277,renamed,1264
154,249600,0,1320,renamed,1310
155,249600,1,1258,renamed,1277
156,249600,0,1330,renamed,1320
157,249600,1,1240,renamed,1258
158,249600,1,1223,renamed,1240
159,249600,1,1238,renamed,1223
160,249600,0,1340,renamed,1330
161,249600,1,1221,renamed,1238
162,249600,1,1206,renamed,1221
163,259200,1,1223,renamed,1206
164,260000,1,1208,renamed,1223
165,260000,0,1351,renamed,1340
166,260000,1,1194,renamed,1208
167,260000,1,1181,renamed,1194
168,260000,1,1200,renamed,1181
169,260000,1,1217,renamed,1200
170,260000,1,1233,renamed,1217
171,260000,1,1247,renamed,1233
172,260000,1,1260,renamed,1247
173,268800,0,1359,renamed,1351
174,268800,1,1241,renamed,1260
175,268800,1,1254,renamed,1241
176,268800,1,1266,renamed,1254
177,268800,0,1366,renamed,1359
178,268800,1,1276,renamed,1266
179,268800,1,1285,renamed,1276
180,268800,0,1372,renamed,1366
181,268800,1,1263,renamed,1285
182,268800,0,1378,renamed,1372
183,278400,1,1242,renamed,1263
184,278400,1,1223,renamed,1242
185,278400,1,1236,renamed,1223
186,280000,0,1385,renamed,1378
187,280000,0,1392,renamed,1385
188,280000,1,1248,renamed,1236
189,280000,1,1259,renamed,1248
190,280000,0,1398,renamed,1392
191,280000,1,1238,renamed,1259
192,280000,1,1219,renamed,1238
193,288000,1,1201,renamed,1219
194,288000,1,1185,renamed,1201
195,288000,0,1406,renamed,1398
196,288000,1,1170,renamed,1185
197,288000,1,1157,renamed,1170
198,288000,1,1145,renamed,1157
199,288000,1,1134,renamed,1145
200,288000,1,1124,renamed,1134
201,288000,0,1385,renamed,1406
202,288000,1,1116,renamed,1124
203,297600,1,1108,renamed,1116
204,297600,1,1132,renamed,1108
205,297600,0,1397,renamed,1385
206,300000,1,1123,renamed,1132
207,300000,1,1146,renamed,1123
208,300000,0,1376,renamed,1397
209,300000,0,1357,renamed,1376
210,300000,1,1168,renamed,1146
211,300000,0,1339,renamed,1357
212,300000,0,1323,renamed,1339
213,307200,1,1159,renamed,1168
214,307200,1,1151,renamed,1159
215,307200,1,1174,renamed,1151
216,307200,0,1308,renamed,1323
217,307200,1,1165,renamed,1174
218,307200,1,1188,renamed,1165
219,307200,0,1324,renamed,1308
220,307200,1,1208,renamed,1188
221,307200,1,1196,renamed,1208
222,307200,1,1216,renamed,1196
223,307200,1,1203,renamed,1216
224,307200,0,1338,renamed,1324
225,316800,1,1221,renamed,1203
226,316800,1,1207,renamed,1221
227,320000,1,1194,renamed,1207
228,320000,1,1213,renamed,1194
229,320000,1,1200,renamed,1213
230,320000,1,1218,renamed,1200
231,320000,1,1204,renamed,1218
232,320000,1,1222,renamed,1204
233,320000,0,1349,renamed,1338
234,320000,1,1238,renamed,1222
235,326400,0,1328,renamed,1349
236,326400,1,1223,renamed,1238
237,326400,1,1240,renamed,1223
238,326400,1,1255,renamed,1240
239,326400,0,1308,renamed,1328
240,326400,1,1269,renamed,1255
241,326400,1,1252,renamed,1269
242,326400,1,1267,renamed,1252
243,326400,0,1289,renamed,1308
244,336000,1,1251,renamed,1267
245,336000,1,1236,renamed,1251
246,336000,1,1253,renamed,1236
247,336000,0,1272,renamed,1289
248,340000,1,1269,renamed,1253
249,340000,1,1253,renamed,1269
250,340000,1,1269,renamed,1253
251,340000,1,1284,renamed,1269
252,340000,1,1267,renamed,1284
253,340000,1,1282,renamed,1267
254,340000,0,1255,renamed,1272
255,345600,1,1296,renamed,1282
256,345600,1,1309,renamed,1296
257,345600,1,1321,renamed,1309
258,345600,1,1301,renamed,1321
259,345600,1,1283,renamed,1301
260,345600,1,1266,renamed,1283
261,345600,0,1240,renamed,1255
262,345600,1,1252,renamed,1266
263,345600,0,1227,renamed,1240
264,355200,1,1270,renamed,1252
265,355200,1,1256,renamed,1270
266,355200,1,1243,renamed,1256
267,355200,1,1231,renamed,1243
268,355200,0,1217,renamed,1227
269,360000,1,1252,renamed,1231
270,360000,1,1240,renamed,1252
271,360000,1,1229,renamed,1240
272,360000,1,1219,renamed,1229
273,360000,2,1369,stored,
274,360000,1,1210,renamed,1219
275,360000,1,1202,renamed,1210
276,360000,1,1194,renamed,1202
277,364800,1,1187,renamed,1194
278,364800,0,1240,renamed,1217
279,364800,0,1231,renamed,1240
280,364800,2,1355,renamed,1369
281,364800,1,1211,renamed,1187
282,364800,2,1341,renamed,1355
283,364800,1,1234,renamed,1211
284,364800,2,1358,renamed,1341
285,364800,2,1373,renamed,1358
286,364800,1,1223,renamed,1234
287,374400,0,1252,renamed,1231
288,374400,2,1386,renamed,1373
289,374400,2,1398,renamed,1386
290,374400,2,1409,renamed,1398
291,374400,2,1419,renamed,1409
292,374400,1,1241,renamed,1223
293,380000,2,1397,renamed,1419
294,380000,2,1407,renamed,1397
295,380000,0,1237,renamed,1252
296,380000,0,1254,renamed,1237
297,384000,2,1386,renamed,1407
298,384000,1,1258,renamed,1241
299,384000,1,1243,renamed,1258
300,384000,1,1260,renamed,1243
301,384000,1,1275,renamed,1260
302,384000,0,1238,renamed,1254
303,384000,1,1290,renamed,1275
304,384000,0,1254,renamed,1238
305,384000,2,1395,renamed,1386
306,384000,2,1403,renamed,1395
307,384000,2,1380,renamed,1403
308,393600,1,1272,renamed,1290
309,393600,2,1359,renamed,1380
310,393600,2,1340,renamed,1359
311,393600,0,1271,renamed,1254
312,393600,2,1353,renamed,1340
313,393600,2,1365,renamed,1353
314,393600,2,1345,renamed,1365
315,400000,1,1257,renamed,1272
316,400000,2,1358,renamed,1345
317,400000,2,1370,renamed,1358
318,400000,2,1381,renamed,1370
319,400000,2,1360,renamed,1381
320,400000,2,1341,renamed,1360
321,403200,0,1287,renamed,1271
322,403200,2,1354,renamed,1341
323,403200,2,1366,renamed,1354
324,403200,2,1377,renamed,1366
325,403200,2,1387,renamed,1377
326,403200,1,1271,renamed,1257
327,403200,1,1253,renamed,1271
328,403200,2,1396,renamed,1387
329,403200,2,1404,renamed,1396
330,403200,0,1299,renamed,1287
331,412800,0,1280,renamed,1299
332,412800,2,1412,renamed,1404
333,412800,2,1419,renamed,1412
334,412800,2,1426,renamed,1419
335,412800,1,1235,renamed,1253
336,412800,1,1219,renamed,1235
337,412800,1,1204,renamed,1219
338,420000,1,1191,renamed,1204
339,422400,1,1179,renamed,1191
340,422400,1,1199,renamed,1179
341,422400,2,1435,renamed,1426
342,422400,0,1264,renamed,1280
343,422400,2,1444,renamed,1435
