checkpoint_index,observed_games_against
0,520
1,524
2,540
3,707
4,210
5,205
6,248
7,252
8,217
9,230
10,203
11,216
12,199
13,188
14,166
15,196
16,135
17,184
18,173
19,180
20,177
21,168
22,171
23,182
24,140
25,129
26,158
27,155
28,183
29,208
30,212
31,213
32,221
33,225
34,199
35,141
36,150
37,109
38,107
39,124
40,126
41,115
42,114
43,149
44,120
45,108
46,130
47,80
48,87
49,85
50,81
51,87
52,86
53,87
54,85
55,61
56,65
57,61
58,58
59,70
60,60
61,61
62,54
63,59
64,53
65,58
66,56
67,56
68,62
69,59
70,51
71,50
72,48
73,36
74,26
75,16
76,5
